what,kind,bundleId,bundleVersion,description,time
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1441894742160
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1441894742222
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1441894766387
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1441894768386
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1441894768484
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1441894768484
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1441894909133
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1441894911037
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1441894911224
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1441894911224
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1441894919149
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1441894929757
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1441894930115
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1441894935685
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1441894939507
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1441894945045
started,bundle,org.eclipse.m2e.launching,1.0.200.20111228-1245,"org.eclipse.m2e.launching",1441894946511
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1441894950988
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1441894980878
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1441895131575
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1441895143884
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1441895187907
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1441895879797
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1441895884290
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1441895925739
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1441895946379
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1441895949156
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1441895949343
stopped,bundle,org.eclipse.m2e.logback.configuration,1.0.200.20111228-1245,"org.eclipse.m2e.logback.configuration",1441895950076
stopped,bundle,org.eclipse.m2e.discovery,1.0.200.20111228-1245,"org.eclipse.m2e.discovery",1441895950092
stopped,bundle,org.eclipse.m2e.refactoring,1.0.200.20111228-1245,"org.eclipse.m2e.refactoring",1441895950107
stopped,bundle,org.eclipse.m2e.editor,1.0.200.20111228-1245,"org.eclipse.m2e.editor",1441895950123
stopped,bundle,org.eclipse.m2e.editor.xml,1.0.200.20111228-1245,"org.eclipse.m2e.editor.xml",1441895950154
stopped,bundle,org.eclipse.m2e.jdt,1.0.200.20111228-1245,"org.eclipse.m2e.jdt",1441895950170
stopped,bundle,org.eclipse.m2e.launching,1.0.200.20111228-1245,"org.eclipse.m2e.launching",1441895950170
stopped,bundle,org.eclipse.m2e.usagedata,1.0.200.20111228-1245,"org.eclipse.m2e.usagedata",1441895950170
stopped,bundle,org.eclipse.ui.cheatsheets,3.4.100.v20110425,"org.eclipse.ui.cheatsheets",1441895950185
stopped,bundle,org.eclipse.help.ui,3.5.101.r37_20110819,"org.eclipse.help.ui",1441895950201
activated,perspective,org.eclipse.jdt.ui,,"org.eclipse.jdt.ui.JavaPerspective",1441975455888
